date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:28:53	10123/10123	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Mar%202020%2005:28:55%20GMT	https://inoscuisine.com/index.php	F:/dony/httrack/inos.old/inos.old4/inoscuisine.com/index.html	(from )
12:28:54	69/69	---MCZ	200	added ('OK')	text/plain	date:Wed,%2025%20Mar%202020%2005:28:56%20GMT	https://inoscuisine.com/robots.txt		(from )
12:28:56	42/42	---M--	405	error ('Method%20Not%20Allowed')	text/plain	date:Wed,%2025%20Mar%202020%2005:28:57%20GMT	https://inoscuisine.com/xmlrpc.php	F:/dony/httrack/inos.old/inos.old4/inoscuisine.com/xmlrpc.php	(from https://inoscuisine.com/index.php)
12:28:56	1655/1655	---M--	200	added ('OK')	image/png	etag:%22677-517216c300800%22	https://inos.aksisoft.com/wp-content/uploads/2015/05/logo-01-01.png	F:/dony/httrack/inos.old/inos.old4/inos.aksisoft.com/wp-content/uploads/2015/05/logo-01-01.png	(from https://inoscuisine.com/index.php)
12:28:57	101103/101103	---M-Z	200	added ('OK')	text/css	etag:%221544639663%22	http://netdna.bootstrapcdn.com/bootswatch/3.1.1/united/bootstrap.min.css	F:/dony/httrack/inos.old/inos.old4/netdna.bootstrapcdn.com/bootswatch/3.1.1/united/bootstrap.min.css	(from https://inoscuisine.com/index.php)
12:28:57	17780/17780	---M-Z	200	added ('OK')	text/css	etag:%221544639719%22	http://netdna.bootstrapcdn.com/font-awesome/4.0.3/css/font-awesome.min.css	F:/dony/httrack/inos.old/inos.old4/netdna.bootstrapcdn.com/font-awesome/4.0.3/css/font-awesome.min.css	(from https://inoscuisine.com/index.php)
12:28:58	85925/85925	---MC-	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.5.2/jquery.min.js	F:/dony/httrack/inos.old/inos.old4/ajax.googleapis.com/ajax/libs/jquery/1.5.2/jquery.min.js	(from https://inoscuisine.com/index.php)
12:28:58	195762/195762	---MC-	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jqueryui/1.8.5/jquery-ui.min.js	F:/dony/httrack/inos.old/inos.old4/ajax.googleapis.com/ajax/libs/jqueryui/1.8.5/jquery-ui.min.js	(from https://inoscuisine.com/index.php)
12:28:59	8097/8097	---M-Z	200	added ('OK')	application/javascript	etag:%221fa1-4f8b84f99e800-gzip%22	https://inoscuisine.com/js/jquery.easing.1.3.js	F:/dony/httrack/inos.old/inos.old4/inoscuisine.com/js/jquery.easing.1.3.js	(from https://inoscuisine.com/index.php)
12:28:59	60293/60293	---M-Z	200	added ('OK')	application/javascript	etag:%22eb85-4f8b84f99e800-gzip%22	https://inoscuisine.com/js/raphael-min.js	F:/dony/httrack/inos.old/inos.old4/inoscuisine.com/js/raphael-min.js	(from https://inoscuisine.com/index.php)
12:29:00	38464/38464	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2025%20Mar%202020%2005:29:02%20GMT	https://inoscuisine.com/fonts/quicksand.eot	F:/dony/httrack/inos.old/inos.old4/inoscuisine.com/fonts/quicksand.eot	(from https://inoscuisine.com/index.php)
12:29:01	38464/38464	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2025%20Mar%202020%2005:29:03%20GMT	https://inoscuisine.com/fonts/quicksand.eot?	F:/dony/httrack/inos.old/inos.old4/inoscuisine.com/fonts/quicksandd41d.eot	(from https://inoscuisine.com/index.php)
12:29:03	38464/38464	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2025%20Mar%202020%2005:29:04%20GMT	https://inoscuisine.com/fonts/quicksand.woff	F:/dony/httrack/inos.old/inos.old4/inoscuisine.com/fonts/quicksand.woff	(from https://inoscuisine.com/index.php)
12:29:04	38464/38464	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2025%20Mar%202020%2005:29:06%20GMT	https://inoscuisine.com/fonts/quicksand.ttf	F:/dony/httrack/inos.old/inos.old4/inoscuisine.com/fonts/quicksand.ttf	(from https://inoscuisine.com/index.php)
12:29:05	38464/38464	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2025%20Mar%202020%2005:29:06%20GMT	https://inoscuisine.com/fonts/quicksand.svg	F:/dony/httrack/inos.old/inos.old4/inoscuisine.com/fonts/quicksand.svg	(from https://inoscuisine.com/index.php)
12:29:06	38464/38464	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2025%20Mar%202020%2005:29:08%20GMT	https://inoscuisine.com/fonts/quicksand-regular.eot	F:/dony/httrack/inos.old/inos.old4/inoscuisine.com/fonts/quicksand-regular.eot	(from https://inoscuisine.com/index.php)
12:29:07	38464/38464	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2025%20Mar%202020%2005:29:09%20GMT	https://inoscuisine.com/fonts/quicksand-regular.eot?	F:/dony/httrack/inos.old/inos.old4/inoscuisine.com/fonts/quicksand-regulard41d.eot	(from https://inoscuisine.com/index.php)
